Id,CodigoMunicipio,Ano,Mes,Periodo,DataCredito,ICMS,FundExp,Comp,IPVA,Total
92,1508,2021,Setembro,13/09/2021 a 17/09/2021,21/09/2021,361593.24,0.00,7092.26,0.00,368685.51
93,1508,2021,Setembro,20/09/2021 a 24/09/2021,28/09/2021,738481.94,3079.18,0.00,0.00,741561.12
94,1508,2021,Outubro,27/09/2021 a 01/10/2021,05/10/2021,339416.20,2397.50,0.00,0.00,341813.70
95,1508,2021,Outubro,04/10/2021 a 08/10/2021,13/10/2021,318031.91,8829.01,197.73,0.00,327058.64
96,1508,2021,Outubro,11/10/2021 a 15/10/2021,19/10/2021,266774.21,0.00,0.00,0.00,266774.21
97,1508,2021,Outubro,18/10/2021 a 22/10/2021,26/10/2021,881529.56,3183.71,6751.74,0.00,891465.01
98,1508,2021,Novembro,25/10/2021 a 29/10/2021,03/11/2021,333683.25,2052.38,188.23,0.00,335923.87
99,1508,2021,Novembro,01/11/2021 a 05/11/2021,09/11/2021,338933.39,0.00,0.00,0.00,338933.39
100,1508,2021,Novembro,08/11/2021 a 12/11/2021,17/11/2021,309855.08,8071.78,0.00,0.00,317926.86
101,1508,2021,Novembro,16/11/2021 a 19/11/2021,23/11/2021,288624.51,3481.18,6477.53,0.00,298583.21
102,1508,2021,Novembro,22/11/2021 a 26/11/2021,30/11/2021,951232.97,0.00,0.00,0.00,951232.97
103,1508,2021,Dezembro,29/11/2021 a 03/12/2021,07/12/2021,182221.75,1921.21,188.78,0.00,184331.74
104,1508,2021,Dezembro,06/12/2021 a 10/12/2021,14/12/2021,411243.71,9928.42,0.00,0.00,421172.14
105,1508,2021,Dezembro,13/12/2021 a 17/12/2021,21/12/2021,403917.15,0.00,7989.21,0.00,411906.36
106,1508,2021,Dezembro,20/12/2021 a 24/12/2021,28/12/2021,820707.87,676.18,217.76,0.00,821601.81
107,1508,2022,Janeiro,Resíduo do Ano Anterior,04/01/2022,320165.52,3170.75,0.00,0.00,323336.27
108,1508,2022,Janeiro,03/01/2022 a 07/01/2022,11/01/2022,346878.18,0.00,0.00,0.00,346878.18
109,1508,2022,Janeiro,10/01/2022 a 14/01/2022,18/01/2022,320491.13,9532.38,0.00,0.00,330023.51
110,1508,2022,Janeiro,17/01/2022 a 21/01/2022,25/01/2022,892905.98,4002.36,6658.26,0.00,903566.60
111,1508,2022,Fevereiro,24/01/2022 a 28/01/2022,01/02/2022,341466.64,485.43,189.95,0.00,342142.02
112,1508,2022,Fevereiro,31/01/2022 a 04/02/2022,08/02/2022,407494.33,0.00,0.00,0.00,407494.33
113,1508,2022,Fevereiro,07/02/2022 a 11/02/2022,15/02/2022,257990.62,8773.16,0.00,0.00,266763.78
114,1508,2022,Fevereiro,14/02/2022 a 18/02/2022,22/02/2022,267805.77,2636.80,6476.16,0.00,276918.73
115,1508,2022,Março,21/02/2022 a 25/02/2022,02/03/2022,729628.97,1126.34,164.22,0.00,730919.53
116,1508,2022,Março,02/03/2022 a 04/03/2022,08/03/2022,363380.28,0.00,0.00,0.00,363380.28
117,1508,2022,Março,07/03/2022 a 11/03/2022,15/03/2022,447596.27,10098.28,0.00,0.00,457694.55
118,1508,2022,Março,14/03/2022 a 18/03/2022,22/03/2022,262089.82,3148.75,8692.20,0.00,273930.77
119,1508,2022,Março,21/03/2022 a 25/03/2022,29/03/2022,696886.12,0.00,0.00,0.00,696886.12
120,1508,2022,Abril,28/03/2022 a 01/04/2022,05/04/2022,364529.53,955.31,237.60,0.00,365722.45
121,1508,2022,Abril,04/04/2022 a 08/04/2022,12/04/2022,368127.82,9579.44,0.00,0.00,377707.25
122,1508,2022,Abril,11/04/2022 a 15/04/2022,19/04/2022,236162.76,0.00,0.00,0.00,236162.76
123,1508,2022,Abril,18/04/2022 a 22/04/2022,26/04/2022,875611.04,2534.12,7818.39,0.00,885963.55
124,1508,2022,Maio,25/04/2022 a 29/04/2022,03/05/2022,395513.78,2330.64,210.86,0.00,398055.28
