Id,Codigo,Nome,UF
1139,4881,Onda Verde,SP
1140,4893,Oriente,SP
1141,4900,Orindiúva,SP
1142,4911,Orlândia,SP
1143,4923,Osasco,SP
1144,4935,Oscar Bressane,SP
1145,4947,Osvaldo Cruz,SP
1146,4959,Ourinhos,SP
1147,4960,Ouro Verde,SP
1148,7912,Ouroeste,SP
1149,4972,Pacaembu,SP
1150,4984,Palestina,SP
1151,4996,Palmares Paulista,SP
1152,5009,Palmeira D'Oeste,SP
1153,5010,Palmital,SP
1154,5022,Panorama,SP
1155,5034,Paraguaçu Paulista,SP
1156,5046,Paraibuna,SP
1157,5058,Paraíso,SP
1158,5060,Paranapanema,SP
1159,5083,Paranapuã,SP
1160,5095,Parapuã,SP
1161,5071,Pardinho,SP
1162,5101,Pariquera-Açu,SP
1163,7547,Parisi,SP
1164,5113,Patrocínio Paulista,SP
1165,5125,Paulicéia,SP
1166,5137,Paulínia,SP
1167,7924,Paulistânia,SP
1168,5149,Paulo de Faria,SP
1169,5150,Pederneiras,SP
1170,5162,Pedra Bela,SP
1171,5174,Pedranópolis,SP
1172,5186,Pedregulho,SP
1173,5198,Pedreira,SP
1174,7559,Pedrinhas Paulista,SP
1175,5204,Pedro de Toledo,SP
1176,5216,Penápolis,SP
1177,5228,Pereira Barreto,SP
1178,5230,Pereiras,SP
1179,5241,Peruíbe,SP
1180,5253,Piacatu,SP
1181,5265,Piedade,SP
1182,5277,Pilar do Sul,SP
1183,5289,Pindamonhangaba,SP
1184,5290,Pindorama,SP
1185,5319,Pinhalzinho,SP
1186,5320,Piquerobi,SP
1187,5332,Piquete,SP
1188,5344,Piracaia,SP
1189,5356,Piracicaba,SP
1190,5370,Piraju,SP
1191,5381,Pirajuí,SP
1192,5393,Pirangí,SP
1193,5400,Pirapora do Bom Jesus,SP
1194,5411,Pirapozinho,SP
1195,5368,Pirassununga,SP
1196,5423,Piratininga,SP
1197,5435,Pitangueiras,SP
1198,5447,Planalto,SP
1199,5459,Platina,SP
1200,5460,Poá,SP
1201,5472,Poloni,SP
1202,5484,Pompéia,SP
1203,5496,Pongaí,SP
1204,5502,Pontal,SP
1205,7560,Pontalinda,SP
1206,5514,Pontes Gestal,SP
1207,5526,Populina,SP
1208,5538,Porangaba,SP
1209,5540,Porto Feliz,SP
1210,5551,Porto Ferreira,SP
1211,7572,Potim,SP
1212,5563,Potirendaba,SP
1213,7780,Pracinha,SP
1214,5575,Pradópolis,SP
1215,5587,Praia Grande,SP
1216,7791,Pratânia,SP
1217,5599,Presidente Alves,SP
1218,5605,Presidente Bernardes,SP
1219,5617,Presidente Epitácio,SP
1220,5629,Presidente Prudente,SP
1221,5630,Presidente Venceslau,SP
1222,5642,Promissão,SP
1223,7808,Quadra,SP
1224,5654,Quatá,SP
1225,5666,Queiroz,SP
1226,5678,Queluz,SP
1227,5680,Quintana,SP
1228,5691,Rafard,SP
1229,5708,Rancharia,SP
1230,5710,Redenção da Serra,SP
1231,5721,Regente Feijó,SP
1232,5733,Reginópolis,SP
1233,5745,Registro,SP
1234,5757,Restinga,SP
1235,5769,Ribeira,SP
1236,5770,Ribeirão Bonito,SP
1237,5782,Ribeirão Branco,SP
1238,5794,Ribeirão Corrente,SP
1239,5800,Ribeirão do Sul,SP
1240,7936,Ribeirão dos Índios,SP
1241,7584,Ribeirão Grande,SP
1242,5812,Ribeirão Pires,SP
1243,5824,Ribeirão Preto,SP
1244,5848,Rifaina,SP
1245,5850,Rincão,SP
1247,5861,Rinópolis,SP
1248,5873,Rio Claro,SP
